# STAR             = HIP114971
# RA(ICRS, deg)    = 349.29141
# Dec(ICRS, deg)   = 3.2822883
# pmRA  (mas/yr)   = 759.820
# pmDec (mas/yr)   = 17.7700
# parallax (mas)   = 23.6400
# Vrad  (km/s)     = -14480.0
# Vtemplate (km/s) = -43132.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2019-06-06T02-50-20_ext.ooo        2458640.6193113001  2458640.6194295324     -43236.65     -13971.91    136.82      6.40    4710.7
s1_2019-06-06T02-53-21_ext.ooo        2458640.6213981002  2458640.6215165365     -43236.37     -13973.48    130.77      6.40    5578.5
s1_2019-06-07T02-59-51_ext.ooo        2458641.6259194999  2458641.6261348473     -43284.32     -13978.06    129.81      6.20    6990.3
s1_2019-06-07T03-02-53_ext.ooo        2458641.6280240999  2458641.6282396531     -43282.91     -13978.83    127.20      6.01    7372.4
s1_2019-06-07T03-05-54_ext.ooo        2458641.6301195999  2458641.6303353580     -43281.18     -13979.34    133.15      6.10    7345.5
s1_2019-06-08T02-56-47_ext.ooo        2458642.6237896001  2458642.6241013627     -43319.50     -13972.23    122.48      5.29    8713.9
s1_2019-06-08T02-59-48_ext.ooo        2458642.6258812998  2458642.6261932673     -43323.48     -13978.42    124.93      5.29    8369.2
s1_2019-06-08T03-02-50_ext.ooo        2458642.6279853000  2458642.6282974738     -43320.49     -13977.72    117.79      5.12    8718.1
s1_2019-06-09T03-26-39_ext.ooo        2458643.6445252998  2458643.6449358426     -43338.05     -13986.33    124.91      5.08   10076.6
s1_2019-06-09T03-29-41_ext.ooo        2458643.6466299002  2458643.6470406489     -43336.26     -13987.48    107.08      4.69   10155.6
s1_2019-06-09T03-32-41_ext.ooo        2458643.6487167999  2458643.6491277530     -43335.77     -13989.97    109.82      4.63   10050.1
s1_2019-06-10T02-48-17_ext.ooo        2458644.6178866001  2458644.6183913760     -43391.63     -13986.21    121.57      5.39    6812.7
s1_2019-06-10T02-51-18_ext.ooo        2458644.6199754002  2458644.6204803810     -43385.72     -13982.53    132.79      6.50    6929.4
s1_2019-06-10T02-54-19_ext.ooo        2458644.6220773002  2458644.6225824873     -43386.88     -13986.00    125.81      5.99    6627.8
s1_2019-06-11T02-33-29_ext.ooo        2458645.6076022000  2458645.6082028789     -43413.84     -13984.41    214.44     12.66    1628.0
s1_2019-06-11T02-36-29_ext.ooo        2458645.6096909000  2458645.6102917837     -43430.01     -14002.60    344.10     19.73     768.9
s1_2019-06-11T02-39-30_ext.ooo        2458645.6117846998  2458645.6123857894     -43400.05     -13974.71    285.42     15.74    1070.9
s1_2019-06-12T02-18-23_ext.ooo        2458646.5971161998  2458646.5978128021     -43430.23     -13985.38    144.85      7.46    4651.1
s1_2019-06-12T02-21-23_ext.ooo        2458646.5992049002  2458646.5999017078     -43427.49     -13984.43    148.13      7.56    4735.8
s1_2019-06-12T02-24-25_ext.ooo        2458646.6013090000  2458646.6020060140     -43424.95     -13983.75    157.55      8.06    5411.3
s1_2019-06-13T02-26-37_ext.ooo        2458647.6028372999  2458647.6036314326     -43416.94     -13979.10    128.46      6.74    6517.7
s1_2019-06-13T02-29-38_ext.ooo        2458647.6049257000  2458647.6057200381     -43420.34     -13984.56    129.88      5.99    7269.1
s1_2019-06-13T02-32-39_ext.ooo        2458647.6070297002  2458647.6078242450     -43419.06     -13985.43    127.17      5.74    7371.7
s1_2019-06-13T05-12-50_ext.ooo        2458647.7182584000  2458647.7190638371     -43217.94     -13978.75    103.69      3.82   10319.0
s1_2019-06-13T05-15-50_ext.ooo        2458647.7203469002  2458647.7211525412     -43217.52     -13983.18    104.82      4.15   10141.9
s1_2019-06-13T05-18-50_ext.ooo        2458647.7224336001  2458647.7232394447     -43211.90     -13982.43     96.96      3.74   10281.5
s1_2019-06-14T02-19-11_ext.ooo        2458648.5976696000  2458648.5985601828     -43418.88     -13985.80    127.07      5.45    7419.3
s1_2019-06-14T02-22-11_ext.ooo        2458648.5997569999  2458648.6006477876     -43409.52     -13978.44    109.27      5.04    8981.6
s1_2019-06-14T02-25-11_ext.ooo        2458648.6018420001  2458648.6027329927     -43410.37     -13981.36    105.26      4.52    9416.2
s1_2019-06-15T02-17-06_ext.ooo        2458649.5962276999  2458649.5972150625     -43411.37     -13994.22    113.09      5.67    7220.2
s1_2019-06-15T02-20-07_ext.ooo        2458649.5983165000  2458649.5993040674     -43407.36     -13992.27    126.07      5.28    7779.7
s1_2019-06-15T02-23-09_ext.ooo        2458649.6004233002  2458649.6014110744     -43406.14     -13993.19    116.09      5.12    7833.0
s1_2019-06-16T02-05-34_ext.ooo        2458650.5882180999  2458650.5893015359     -43371.01     -13971.14    153.23      7.98    3998.4
s1_2019-06-16T02-08-34_ext.ooo        2458650.5903051002  2458650.5913887410     -43371.40     -13973.44    148.38      8.20    4155.8
s1_2019-06-16T02-11-36_ext.ooo        2458650.5924105002  2458650.5934943473     -43356.92     -13960.96    149.28      8.71    3632.8
s1_2019-06-16T04-57-22_ext.ooo        2458650.7075280002  2458650.7086231066     -43191.80     -13993.38    108.09      4.65    9550.7
s1_2019-06-16T05-00-24_ext.ooo        2458650.7096340000  2458650.7107293112     -43189.12     -13995.61    101.97      4.03    9866.9
s1_2019-06-16T05-03-25_ext.ooo        2458650.7117209001  2458650.7128164149     -43181.23     -13992.61    107.29      4.27   10291.1
s1_2019-06-17T02-16-39_ext.ooo        2458651.5959151001  2458651.5970960632     -43347.88     -13987.99    150.96      8.18    3779.0
s1_2019-06-17T02-19-41_ext.ooo        2458651.5980234002  2458651.5992045701     -43346.16     -13988.55    138.06      6.98    4162.7
s1_2019-06-17T02-22-42_ext.ooo        2458651.6001108000  2458651.6012921743     -43351.62     -13996.33    147.80      7.87    4101.6
s1_2019-06-19T02-00-46_ext.ooo        2458653.5848810999  2458653.5862541669     -43278.96     -13995.49    198.25     11.78    2126.2
s1_2019-06-19T02-03-46_ext.ooo        2458653.5869702999  2458653.5883435709     -43271.14     -13989.78    199.33     12.99    1958.5
s1_2019-06-19T02-06-47_ext.ooo        2458653.5890671001  2458653.5904405760     -43270.80     -13991.62    149.04      8.32    3025.4
s1_2019-06-19T04-50-23_ext.ooo        2458653.7026720000  2458653.7040565414     -43067.33     -13991.22    113.86      4.65    7192.4
s1_2019-06-19T04-53-23_ext.ooo        2458653.7047605999  2458653.7061453438     -43057.76     -13986.60    112.38      5.03    7564.9
s1_2019-06-19T04-56-24_ext.ooo        2458653.7068550000  2458653.7082399470     -43055.05     -13988.90    109.57      4.73    7132.9
s1_2019-06-20T01-54-20_ext.ooo        2458654.5804113001  2458654.5818802919     -43216.85     -13984.10    124.02      5.97    5380.5
s1_2019-06-20T01-57-22_ext.ooo        2458654.5825252002  2458654.5839943984     -43218.74     -13988.09    123.98      5.74    5848.9
s1_2019-06-20T02-00-24_ext.ooo        2458654.5846299999  2458654.5860994034     -43212.35     -13983.85    118.08      5.24    6030.1
s1_2019-06-21T01-42-17_ext.ooo        2458655.5720482999  2458655.5736126513     -43171.01     -13993.06    134.49      6.57    6289.5
s1_2019-06-21T01-45-17_ext.ooo        2458655.5741369999  2458655.5757015548     -43176.27     -14000.23    130.17      6.40    6411.8
s1_2019-06-21T01-48-19_ext.ooo        2458655.5762410001  2458655.5778057599     -43168.73     -13994.68    125.51      6.17    7145.9
s1_2019-06-22T02-40-09_ext.ooo        2458656.6126152002  2458656.6142794499     -43061.72     -14004.66     94.95      3.80   16512.3
s1_2019-06-24T01-41-07_ext.ooo        2458658.5716118999  2458658.5734633463     -42954.39     -14010.99    118.56      5.51    9056.0
s1_2019-06-25T01-28-10_ext.ooo        2458659.5626192000  2458659.5645649424     -42854.04     -13995.91    174.95      9.77    3171.0
s1_2019-06-26T01-40-08_ext.ooo        2458660.5709298002  2458660.5729711847     -42747.37     -14000.24    117.90      4.98    9188.8
s1_2019-06-27T02-20-08_ext.ooo        2458661.5987064000  2458661.6008449327     -42609.38     -14011.29    117.52      5.38    8525.5
s1_2019-06-28T01-22-37_ext.ooo        2458662.5587708000  2458662.5609996440     -42541.53     -14010.58    117.10      5.73    7466.1
s1_2019-06-29T01-12-30_ext.ooo        2458663.5517448001  2458663.5540667032     -42423.89     -14012.58    122.16      5.68    8564.8
s1_2019-06-30T01-15-08_ext.ooo        2458664.5535704000  2458664.5559857744     -42294.23     -14019.92    113.65      4.81    9528.3
s1_2019-07-01T00-59-34_ext.ooo        2458665.5427656998  2458665.5452729012     -42151.95     -14010.23    129.90      6.06    6623.5
s1_2019-07-02T00-58-10_ext.ooo        2458666.5417875000  2458666.5443869717     -42003.37     -14012.51    173.43      9.30    4026.6
s1_2019-07-03T01-06-18_ext.ooo        2458667.5474351998  2458667.5501270448     -41830.64     -14006.25    113.62      4.85    7774.5
s1_2019-07-04T00-46-20_ext.ooo        2458668.5335658998  2458668.5363477687     -41696.75     -14026.84    125.26      5.83    7490.1
s1_2019-07-05T00-54-38_ext.ooo        2458669.5393297998  2458669.5422029397     -41477.84     -13990.99    119.61      5.04   10365.4
s1_2019-07-06T00-39-50_ext.ooo        2458670.5290545998  2458670.5320169455     -41332.16     -14019.87    124.22      5.74    7088.4
s1_2019-07-07T01-18-16_ext.ooo        2458671.5557408999  2458671.5587951839     -41079.66     -13993.45    115.03      5.08    9446.1
s1_2019-07-08T00-28-50_ext.ooo        2458672.5214173999  2458672.5245574596     -40954.47     -14028.09    155.51      8.39    3586.3
s1_2019-07-09T00-40-20_ext.ooo        2458673.5294065000  2458673.5326354778     -40729.22     -14019.35    108.65      5.12    9555.0
s1_2019-07-10T02-34-46_ext.ooo        2458674.6088772002  2458674.6122006895     -40377.83     -14021.39    117.14      5.59    9939.0
s1_2019-07-11T01-28-44_ext.ooo        2458675.5630158000  2458675.5664220038     -40249.74     -14027.70    104.45      4.70   11826.4
s1_2019-07-11T04-54-33_ext.ooo        2458675.7059448999  2458675.7093635336     -39903.19     -14024.99    104.85      4.62   11125.0
s1_2019-07-12T00-26-59_ext.ooo        2458676.5201384998  2458676.5236269892     -40062.43     -14008.80    110.83      4.91    8803.8
